idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
109,1,1,1,1,1,4,3,3,5,4,4,5,4,3,3,5,3,3,3,4,2,2,3,3,4,4,4,5,5,4,5,5,4,4,5,5,5,5,3,3,4,3,3,27
110,1,1,1,1,1,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,2,4,2,4,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,26
111,1,1,1,1,1,4,4,4,4,5,5,4,5,5,5,4,5,4,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28
112,1,3,1,1,1,4,5,4,4,4,4,4,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,4,5,3,5,5,5,4,5,5,31
113,1,2,1,1,1,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,4,3,3,5,4,4,5,4,5,4,5,4,4,5,4,4,5,5,4,4,5,26
114,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,4,2,4,4,4,4,4,4,3,2,2,2,1,2,5,5,5,4,5,24
115,1,2,1,1,1,5,4,5,4,5,5,4,5,4,4,5,4,5,5,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,22
116,1,3,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,21
117,1,5,1,1,1,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,23
118,1,1,1,1,1,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,5,4,5,4,5,4,5,4,5,29
119,1,1,1,1,0,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,24
120,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,25
121,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,25
122,1,3,1,1,1,5,4,5,4,4,5,5,5,4,5,5,4,4,5,5,4,4,5,4,5,4,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,4,4,26
123,1,1,1,1,1,4,5,4,5,5,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,26
124,1,1,1,1,1,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,24
125,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,21
